fazenda_nome,nome_talhao,pct_dias_alto_risco
Fazenda Cerrado Alto,Lote B,0.09289617486338798
Fazenda Santa Luzia,Lote D,0.07103825136612021
Fazenda Boa Vista,Lote C,0.0273224043715847
Fazenda Boa Vista,Lote B,0.0
Fazenda Boa Vista,Lote D,0.0
Fazenda Cerrado Alto,Lote A,0.0
Fazenda Cerrado Alto,Lote C,0.0
Fazenda Boa Vista,Lote A,0.0
Fazenda Cerrado Alto,Lote D,0.0
Fazenda Rio Claro,Lote A,0.0
Fazenda Rio Claro,Lote C,0.0
Fazenda Rio Claro,Lote B,0.0
Fazenda Rio Claro,Lote D,0.0
Fazenda Santa Luzia,Lote A,0.0
Fazenda Santa Luzia,Lote B,0.0
Fazenda Santa Luzia,Lote C,0.0
