talhao_id,fazenda_id,safra,cultura,area_ha,custo_producao_ha,produtividade_sc_ha,preco_saca,receita_estimada_ha,margem_estimada_ha
1,1,2025/2026,Soja,297.4,4032.78,59.0,133.59,7887.17,3854.4
2,1,2025/2026,Soja,163.3,3701.38,53.8,125.51,6750.65,3049.27
3,1,2025/2026,Soja,310.1,4014.4,52.2,134.45,7016.78,3002.39
4,1,2025/2026,Soja,109.6,3559.49,55.6,136.48,7587.06,4027.57
5,2,2025/2026,Milho,90.1,3703.91,110.8,69.9,7742.81,4038.91
6,2,2025/2026,Milho,251.8,4641.97,140.7,64.54,9083.0,4441.04
7,2,2025/2026,Milho,323.4,4486.09,115.0,56.55,6501.03,2014.94
8,2,2025/2026,Milho,222.6,3441.23,134.6,71.93,9682.61,6241.38
9,3,2025/2026,Soja,174.6,5336.37,65.2,132.5,8640.95,3304.58
10,3,2025/2026,Soja,338.0,3445.41,56.7,125.11,7093.23,3647.82
11,3,2025/2026,Soja,223.7,5207.78,65.4,122.13,7988.35,2780.57
12,3,2025/2026,Soja,153.2,4912.98,58.6,143.09,8385.83,3472.85
13,4,2025/2026,Algodao,114.8,3876.53,305.2,180.42,55070.02,51193.49
14,4,2025/2026,Algodao,202.1,4884.84,269.5,158.47,42705.38,37820.55
15,4,2025/2026,Algodao,169.9,4386.45,248.1,170.7,42343.65,37957.2
16,4,2025/2026,Algodao,262.3,3466.21,272.9,175.24,47832.49,44366.28
